2018-06-10 01:09:05.590 [main] INFO  com.springbootpro.ssm.SsmApplication - project init
2018-06-10 01:09:05.913 [main] INFO  com.springbootpro.ssm.SsmApplication - Starting SsmApplication on DESKTOP-ENODUB5 with PID 100368 (G:\ideaPro\springbootssm\target\classes started by Elliot in G:\ideaPro\springbootssm)
2018-06-10 01:09:05.914 [main] INFO  com.springbootpro.ssm.SsmApplication - No active profile set, falling back to default profiles: default
2018-06-10 01:09:05.959 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@78b729e6: startup date [Sun Jun 10 01:09:05 CST 2018]; root of context hierarchy
2018-06-10 01:09:05.991 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2018-06-10 01:09:06.096 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源环境...
2018-06-10 01:09:06.097 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 加载主数据源....
2018-06-10 01:09:06.135 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 主数据源加载完毕...
2018-06-10 01:09:06.135 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 加载更多数据源...
2018-06-10 01:09:06.136 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源:ds1
2018-06-10 01:09:06.145 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化ds1完毕
2018-06-10 01:09:06.145 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化数据源:ds2
2018-06-10 01:09:06.150 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化ds2完毕
2018-06-10 01:09:06.151 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 更多数据源加载完毕
2018-06-10 01:09:06.151 [main] INFO  c.s.s.c.s.c.d.DynamicDataSourceRegister - 初始化完毕...
2018-06-10 01:09:06.402 [main] INFO  o.s.b.factory.support.DefaultListableBeanFactory - Overriding bean definition for bean 'beanNameViewResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
2018-06-10 01:09:06.601 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7e5d0346] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-06-10 01:09:06.976 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 10086 (http)
2018-06-10 01:09:06.983 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2018-06-10 01:09:06.984 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.0.32
2018-06-10 01:09:07.053 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-06-10 01:09:07.053 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1094 ms
2018-06-10 01:09:07.770 [localhost-startStop-1] INFO  o.s.boot.context.embedded.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
